Reason for Credit Entry,Sub Order No,Order Date,Customer State,Product Name,SKU,Size,Quantity,Supplier Listed Price (Incl. GST + Commission),Supplier Discounted Price (Incl GST and Commision)
DELIVERED,133620476043_1,18-08-2022,Uttar Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk 1408a,Free Size,1,1350,1350
DELIVERED,537121032423_1,18-08-2022,Assam,FLORAL PRINT IN FOX GEORGETTE REAL MIRROR WORK GOWNS WITH DUPATTA,kb 194,XXL,1,1561,1561
RTO_COMPLETE,668655545003_1,18-08-2022,Andhra Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk 1408a,Free Size,1,1350,1350
CANCELLED,733339429166_1,19-08-2022,Assam,FIVESTAR Designer Suit On Havy Gorgette febric with 9MM sequnce work and sharara on Gorgette febric with 9MM Sequnce work and Dupatta on also Gorgette Febric with 9MM Sequnce work (BLACK),1101 black,Semi Stitched,1,1749,1749
DELIVERED,115964435613_1,19-08-2022,Jammu & Kashmir, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk avdh,Free Size,1,1311,1311
CANCELLED,381353679397_1,19-08-2022,Up ,FIVESTAR Beautiful Designer Women Gorgette Plazo with Banglory silk Blouse and Gorgette duppata,5425 black,Semi Stitched,1,1599,1599
DELIVERED,684818289255_1,19-08-2022,Tamil Nadu, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350,1350
CANCELLED,269627385202_1,19-08-2022,Up ,FIVESTAR Beautiful Designer Women Gorgette Plazo with Banglory silk Blouse and Gorgette duppata,5425 pink,Semi Stitched,1,1599,1599
DELIVERED,882312666682_1,20-08-2022,Uttar Pradesh,FIVESTAR beautiful Designer Saree on premium Soft Net fabric with Sequence and Embroidery work and blouse on Velvet fabric with Sequence and Embroidery work,323,Free Size,1,1399,1399
DELIVERED,704814497883_1,20-08-2022,Bihar,top & bottom set,akshar 1090,XL,1,1400,1400
CANCELLED,137922314316_1,20-08-2022,Uttar Pradesh, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350,1350
DELIVERED,150003921805_1,20-08-2022,Up ,FIVESTAR Beautiful Designer Women Gorgette Plazo with Banglory silk Blouse and Gorgette duppata,5425 pink,Semi Stitched,1,1599,1599
CANCELLED,918609782308_1,20-08-2022,Haryana, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350,1350
DELIVERED,145765249861_1,21-08-2022,Maharashtra,FIVESTAR Designer Women Suit On havy Organza silk febric with Thred with Sequnce work and pent on also organza silk febric with inner and Dupatta also on organza silk febric with Thred work and less work,1091,Free Size,1,1399,1399
CANCELLED,523165022965_1,21-08-2022,Tamil Nadu, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350,1350
DELIVERED,236795271202_1,21-08-2022,Others, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk1408b,Free Size,1,1350,1350
RTO_COMPLETE,704133639877_1,21-08-2022,Kerala,Beautiful maska cotton kurta set with muslin cotton duppata and pant,Kb 196 b,L,1,1400,1400
DELIVERED,643537959075_1,21-08-2022,Punjab, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk avdh,Free Size,1,1350,1350
CANCELLED,887032986289_1,21-08-2022,Punjab, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,Hk avdh,Free Size,1,1350,1350
CANCELLED,121951310020_1,21-08-2022,Jammu & Kashmir,FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work,5400 white,Semi Stitched,1,1999,1999
DELIVERED,402972493507_1,21-08-2022,Telangana, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350,1350
DELIVERED,555207008312_1,21-08-2022,Gujarat,top & bottom set,akshar 1090,M,1,1400,1400
CANCELLED,270994880886_1,22-08-2022,Haryana,FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work,5400 skyblue,Semi Stitched,1,1999,1999
DELIVERED,437167650973_1,22-08-2022,Odisha,Dupatta Sets,Hk1436,XXL,1,1400,1400
DELIVERED,458878633167_1,22-08-2022,Punjab,FIVESTAR Bridal Wedding Gorgette Lehengha with soft net Dupata,6320,Semi Stitched,1,1949,1949
DELIVERED,261601009640_1,22-08-2022,Odisha,top & bottom set,akshar 1090,L,1,1400,1400
CANCELLED,453722335864_1,22-08-2022,Chhattisgarh,Beautiful maska cotton kurta set with muslin cotton duppata and pant,Kb 196 b,M,1,1400,1400
RTO_COMPLETE,296540364861_1,22-08-2022,seoni, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1311,1311
DELIVERED,189410351427_1,22-08-2022,Maharashtra,Kurta Sets ,45678,L,1,500,500
DELIVERED,384931415630_1,22-08-2022,West Bengal ,FIVESTAR Designer Suit On Havy Gorgette febric with 9MM sequnce work and sharara on Gorgette febric with 9MM Sequnce work and Dupatta on also Gorgette Febric with 9MM Sequnce work (BLUE),1101 blue,Semi Stitched,1,1749,1749
DELIVERED,923462757835_1,22-08-2022,punjab,FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work,5400 blue,Semi Stitched,1,1999,1999
DELIVERED,848334441754_1,22-08-2022,Punjab,FIVESTAR beautiful Designer Suit On Havy Gorgette febric with inner on 9 MM Sequance work and Palazoo on Gorgette febric with inner on 9 MM Sequance work and dupatta on also Gorgette febric on 9 MM Sequance work,5400 skyblue,Semi Stitched,1,1999,1999
RTO_COMPLETE,748208976472_1,23-08-2022,Jammu & Kashmir,Kalamkari print full flair narkali sut set,Kb 198,M,1,1400,1400
RTO_COMPLETE,933916764856_1,23-08-2022,Chandigarh,FIVESTAR wedding special occasions Lehengha choli with Dupata,6302 green,Semi Stitched,1,2299,2299
CANCELLED,623328510051_1,23-08-2022,Bihar, PARTY WEAR LOOK HEAVY EMBROIDERY AND 5mm SEQUINS WORK GOWN WITH DUPATTA ,hk 1408,Free Size,1,1350,1350
DELIVERED,426207937376_1,23-08-2022,Odisha,top & bottom set,akshar 1090,M,1,1400,1400
DELIVERED,295645979015_1,24-08-2022,Tamil Nadu,Kalamkari print full flair narkali sut set,Kb 198,M,1,1400,1400
DELIVERED,736602256273_1,24-08-2022,Gujarat,Stylish designer digital printed work lehenga choli with duppata ,921837737,Semi Stitched,1,1500,1500
DELIVERED,736602256273_2,24-08-2022,Gujarat,Stylish designer digital printed work lehenga choli with duppata ,932291795,Semi Stitched,1,1500,1500
DELIVERED,188317821806_1,25-08-2022,Telangana,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XXL,1,1368,1368
DELIVERED,640125783153_1,25-08-2022,Gujarat,Stylish designer digital printed work lehenga choli with duppata ,Dhk 1100,Semi Stitched,1,1500,1500
CANCELLED,383743812322_1,25-08-2022,Jharkhand,Fancy look beautiful embroidery work kurti bottom with duppata,Hk 1454,XL,1,1400,1400
DELIVERED,313945993871_1,25-08-2022,Rajasthan,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,414,414
DELIVERED,715638312753_1,25-08-2022,Jammu & Kashmir,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429,429
DELIVERED,263636176870_1,25-08-2022,Rajasthan,top & bottom set,akshar 1090,M,1,1400,1400
DELIVERED,139089555643_1,25-08-2022,Karnataka,"FIVE STAR Hair Straightener Comb for Women & Men, Hair Styler, Straightener Machine Brush/PTC Heating Electric Straightener with 5 Temperature Control Hair Straightener",Uk8ndIGZ,Free Size,1,429,429
